season,week,game_type,home_team,away_team,home_score,away_score,result
2026,12,REG,IND,NYG,,,
2026,12,REG,MIA,NYJ,,,
2026,12,REG,MIN,ATL,,,
2026,12,REG,JAX,TEN,,,
2026,12,REG,ARI,WAS,,,
2026,12,REG,SF,SEA,,,
2026,12,REG,LAC,NE,,,
2026,12,REG,TB,CAR,,,
2026,13,REG,LA,KC,,,
2026,13,REG,ATL,DET,,,
2026,13,REG,CHI,JAX,,,
2026,13,REG,CLE,CIN,,,
2026,13,REG,NO,GB,,,
2026,13,REG,NYG,SF,,,
2026,13,REG,TB,LAC,,,
2026,13,REG,TEN,WAS,,,
2026,13,REG,ARI,PHI,,,
2026,13,REG,DEN,MIA,,,
2026,13,REG,MIN,CAR,,,
2026,13,REG,NE,BUF,,,
2026,13,REG,PIT,HOU,,,
2026,13,REG,SEA,DAL,,,
2026,14,REG,NE,MIN,,,
2026,14,REG,BAL,TB,,,
2026,14,REG,CAR,NO,,,
2026,14,REG,CLE,ATL,,,
2026,14,REG,DET,TEN,,,
2026,14,REG,MIA,CHI,,,
2026,14,REG,NYJ,DEN,,,
2026,14,REG,PHI,IND,,,
2026,14,REG,WAS,HOU,,,
2026,14,REG,LV,LAC,,,
2026,14,REG,CIN,KC,,,
2026,14,REG,SEA,NYG,,,
2026,14,REG,SF,LA,,,
2026,14,REG,GB,BUF,,,
2026,14,REG,JAX,PIT,,,
2026,15,REG,LAC,SF,,,
2026,15,REG,PHI,SEA,,,
2026,15,REG,BUF,CHI,,,
2026,15,REG,CAR,CIN,,,
2026,15,REG,GB,MIA,,,
2026,15,REG,HOU,JAX,,,
2026,15,REG,NYG,CLE,,,
2026,15,REG,PIT,BAL,,,
2026,15,REG,TB,NO,,,
2026,15,REG,TEN,IND,,,
2026,15,REG,WAS,ATL,,,
2026,15,REG,ARI,NYJ,,,
2026,15,REG,LA,DAL,,,
2026,15,REG,LV,DEN,,,
2026,15,REG,MIN,DET,,,
2026,15,REG,KC,NE,,,
2026,16,REG,PHI,HOU,,,
2026,16,REG,CHI,GB,,,
2026,16,REG,DEN,BUF,,,
2026,16,REG,SEA,LA,,,
2026,16,REG,ATL,TB,,,
2026,16,REG,BAL,CLE,,,
2026,16,REG,IND,CIN,,,
2026,16,REG,MIA,LAC,,,
2026,16,REG,MIN,WAS,,,
2026,16,REG,NO,ARI,,,
2026,16,REG,NYJ,NE,,,
2026,16,REG,PIT,CAR,,,
2026,16,REG,LV,TEN,,,
2026,16,REG,KC,SF,,,
2026,16,REG,DAL,JAX,,,
2026,16,REG,DET,NYG,,,
2026,17,REG,CIN,BAL,,,
2026,17,REG,ATL,NO,,,
2026,17,REG,CAR,SEA,,,
2026,17,REG,CLE,IND,,,
2026,17,REG,DAL,NYG,,,
2026,17,REG,JAX,WAS,,,
2026,17,REG,LAC,KC,,,
2026,17,REG,MIA,BUF,,,
2026,17,REG,NE,DEN,,,
2026,17,REG,NYJ,MIN,,,
2026,17,REG,TB,LA,,,
2026,17,REG,TEN,PIT,,,
2026,17,REG,ARI,LV,,,
2026,17,REG,CHI,DET,,,
2026,17,REG,SF,PHI,,,
2026,17,REG,GB,HOU,,,
2026,18,REG,ARI,SF,,,
2026,18,REG,BAL,PIT,,,
2026,18,REG,BUF,NYJ,,,
2026,18,REG,CAR,ATL,,,
2026,18,REG,CIN,CLE,,,
2026,18,REG,DEN,LAC,,,
2026,18,REG,GB,DET,,,
2026,18,REG,HOU,TEN,,,
2026,18,REG,IND,JAX,,,
2026,18,REG,KC,LV,,,
2026,18,REG,LA,SEA,,,
2026,18,REG,MIN,CHI,,,
2026,18,REG,NE,MIA,,,
2026,18,REG,NO,TB,,,
2026,18,REG,NYG,PHI,,,
2026,18,REG,WAS,DAL,,,
